Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,Jan,1,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Goods vehicle 3.5 tonnes mgw and under
1,Jan,18,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Serious,Male,20,Car
2,Jan,7,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Motorcycle over 500cc
2,Jan,18,Wet / Damp,Darkness: street lighting unknown,Other,Driver,Slight,Female,33,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car
1,Jan,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,52,Car
2,Jan,17,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,67,Car
2,Jan,17,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,64,Car
2,Jan,20,Dry,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,29,Car
2,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
1,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,86,Pedal cycle
2,Jan,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,47,Car
2,Jan,7,Wet / Damp,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,44,Pedal cycle
1,Jan,16,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,5,Car
1,Jan,22,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,18,Car
2,Jan,7,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,50,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Goods vehicle 7.5 tonnes mgw and over
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Pedal cycle
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car
2,Jan,0,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,38,Motorcycle over 500cc
1,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,Bus or coach (17 or more passenger seats)
2,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car
1,Jan,8,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car
1,Jan,3,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
3,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car
2,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 500cc
1,Jan,16,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
2,Jan,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
2,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car
2,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3,Car
1,Jan,8,Wet / Damp,Daylight: street lights present,Unknown,Driver,Slight,Male,42,Motorcycle over 50cc and up to 125cc
1,Jan,9,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats)
3,Jan,17,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,50,Car
3,Jan,17,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Female,42,Car
3,Jan,17,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,39,Car
3,Jan,17,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,1,Car
2,Jan,7,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
2,Jan,7,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car
2,Jan,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car
1,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats)
1,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Bus or coach (17 or more passenger seats)
3,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Fatal,Male,75,Car
