Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,May,17,Dry,Daylight: street lights present,Unknown,Driver,Slight,Female,48,Car
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,Pedal cycle
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,57,Car
1,May,11,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,47,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle
1,May,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,18,Goods vehicle 3.5 tonnes mgw and under
1,May,14,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,61,Car
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,M/cycle 50cc and under
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
2,May,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Pedal cycle
1,May,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Car
2,May,17,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,24,Pedal cycle
2,May,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,33,Taxi/Private hire car
2,May,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,36,Taxi/Private hire car
2,May,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,33,Taxi/Private hire car
2,May,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,37,Pedal cycle
3,May,18,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,48,M/cycle 50cc and under
2,May,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,74,Car
1,Sep,9,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,44,Car
2,Sep,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car
5,May,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car
5,May,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Goods vehicle 3.5 tonnes mgw and under
2,May,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,5,Pedal cycle
2,Sep,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Bus or coach (17 or more passenger seats)
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,7,Pedal cycle
1,May,17,Wet / Damp,Daylight: street lights present,Unknown,Pedestrian,Slight,Female,17,Motorcycle over 50cc and up to 125cc
1,May,17,Wet / Damp,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,19,Motorcycle over 50cc and up to 125cc
1,May,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,70,Car
2,May,21,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
2,May,21,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,79,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,89,Car
2,May,13,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,24,Pedal cycle
1,May,23,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,28,Car
1,May,11,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,49,Bus or coach (17 or more passenger seats)
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Pedal cycle
2,May,21,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
1,May,22,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,19,Car
1,May,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,30,Car
2,May,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Pedal cycle
1,May,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,20,Car
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car
2,May,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,57,Car
2,May,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,46,Car
1,May,9,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,70,Car
1,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car
2,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Taxi/Private hire car
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Pedal cycle
4,May,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Car
4,May,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,52,Car
4,May,20,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,43,Car
1,May,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,49,Motorcycle over 50cc and up to 125cc
3,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Pedal cycle
2,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Car
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Pedal cycle
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Bus or coach (17 or more passenger seats)
1,May,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Bus or coach (17 or more passenger seats)
1,May,17,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,12,Car
3,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Fatal,Male,36,Motorcycle over 125cc and up to 500cc
2,May,20,Dry,Daylight: street lights present,Unknown,Driver,Slight,Male,53,Goods vehicle 3.5 tonnes mgw and under
2,May,20,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,48,Goods vehicle 3.5 tonnes mgw and under
2,May,20,Dry,Daylight: street lights present,Unknown,Driver,Serious,Male,18,Car
2,May,20,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,17,Car
2,May,20,Dry,Daylight: street lights present,Unknown,Passenger,Serious,Male,18,Car
3,May,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,55,Car
3,May,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,22,Goods vehicle 3.5 tonnes mgw and under
2,May,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Pedal cycle
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Pedal cycle
1,May,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats)
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,51,Pedal cycle
2,May,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Pedal cycle
2,May,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Pedal cycle
2,May,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,Pedal cycle
3,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
3,May,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car
2,May,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,36,Taxi/Private hire car
2,May,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,58,Taxi/Private hire car
2,May,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,55,Taxi/Private hire car
1,May,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Car
2,May,19,Dry,Daylight: street lights present,Unknown,Driver,Slight,Male,20,Car
1,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Car
2,May,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car
2,May,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,42,Car
1,May,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Pedal cycle
1,May,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,85,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,83,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Car
2,May,21,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
1,May,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,80,Bus or coach (17 or more passenger seats)
2,May,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,55,Car
2,May,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,19,Car
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,35,Car
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,23,Car
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,22,Motorcycle over 125cc and up to 500cc
1,May,20,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,8,Car
1,May,14,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,2,Car
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Car
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,7,Pedal cycle
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,38,Car
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,32,Car
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Car
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,16,M/cycle 50cc and under
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Pedal cycle
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,22,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,Pedal cycle
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,69,Pedal cycle
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Car
1,May,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,31,Car
2,May,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,35,Motorcycle over 50cc and up to 125cc
1,May,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,14,Goods vehicle 3.5 tonnes mgw and under
2,May,9,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,35,Car
2,May,9,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,25,Car
2,May,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,38,Pedal cycle
2,May,15,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,35,Car
2,May,16,Dry,Daylight: street lights present,Unknown,Driver,Slight,Male,22,M/cycle 50cc and under
2,May,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,43,Pedal cycle
1,May,17,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,60,Car
1,May,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Goods vehicle 3.5 tonnes mgw and under
1,May,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,50,Car
1,May,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,9,Car
1,May,14,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,14,Car
2,May,22,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,26,Car
2,May,22,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,Car
2,May,22,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car
2,May,22,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,43,Car
1,May,5,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,30,Motorcycle - Unknown CC
2,May,13,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,25,Car
3,May,13,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car
1,May,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,23,Car
2,May,14,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,23,Car
2,May,14,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,22,Car
2,May,14,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,3,Car
1,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Pedal cycle
1,May,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,66,Pedal cycle
2,May,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Motorcycle over 50cc and up to 125cc
3,May,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,45,Motorcycle over 500cc
2,May,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Pedal cycle
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,26,Motorcycle over 50cc and up to 125cc
2,May,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car
2,May,14,Dry,Daylight: street lights present,Unknown,Driver,Slight,Male,49,Pedal cycle
1,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,32,Motorcycle over 125cc and up to 500cc
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,9,Pedal cycle
2,May,18,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,24,Car
1,May,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,56,Bus or coach (17 or more passenger seats)
3,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
3,May,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,46,Car
3,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car
2,May,9,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,43,Pedal cycle
4,May,16,Wet / Damp,Daylight: street lights present,Unknown,Driver,Slight,Female,30,Car
3,May,21,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,45,Car
2,May,21,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Pedal cycle
2,May,0,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,17,Motorcycle over 50cc and up to 125cc
2,May,1,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,23,Car
2,May,1,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,22,Car
2,May,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,33,Motorcycle over 50cc and up to 125cc
2,May,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,Goods vehicle 3.5 tonnes mgw and under
3,May,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Pedal cycle
3,May,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Pedal cycle
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car
1,May,9,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,34,Goods vehicle 7.5 tonnes mgw and over
2,May,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Car
2,May,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Goods vehicle 3.5 tonnes mgw and under
3,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car
2,May,4,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Motorcycle over 50cc and up to 125cc
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Pedal cycle
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,23,Motorcycle over 50cc and up to 125cc
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car
2,May,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
2,Jun,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,48,Car
2,Jun,1,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
1,Jun,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car
2,May,21,Dry,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,34,Car
2,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
2,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Taxi/Private hire car
2,Jun,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Taxi/Private hire car
2,Jun,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle
2,Jun,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,Pedal cycle
4,Jun,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car
1,Jun,10,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,57,Car
1,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
1,Jun,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Bus or coach (17 or more passenger seats)
2,Jun,17,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver,Slight,Female,35,Pedal cycle
2,Jun,7,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Pedal cycle
3,Jun,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car
1,Jun,10,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,88,Bus or coach (17 or more passenger seats)
2,Jun,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Car
2,Jun,9,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Bus or coach (17 or more passenger seats)
1,Jun,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,75,Motorcycle over 50cc and up to 125cc
3,Jun,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,59,Car
3,Jun,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Car
2,Jun,21,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,37,Car
2,Jun,5,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,43,Car
1,Jun,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,14,Car
2,Jun,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,39,Car
2,Jun,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,26,Motorcycle over 50cc and up to 125cc
1,Jun,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Motorcycle - Unknown CC
1,Jun,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,8,Car
2,Jun,16,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car
2,Jun,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Jun,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car
2,Jun,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
3,Jun,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,Jun,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Pedal cycle
4,Jun,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car
2,Jun,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
2,Jun,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,26,Car
1,Jun,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,3,Car
2,Jun,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Car
1,Jun,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Other Vehicle 
2,Jun,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,55,Car
2,Jun,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,39,Car
2,Jun,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Pedal cycle
2,Jun,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,47,Motorcycle over 125cc and up to 500cc
1,Jun,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,18,Goods vehicle 3.5 tonnes mgw and under
2,Jun,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Goods vehicle 7.5 tonnes mgw and over
2,Jun,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Goods vehicle 7.5 tonnes mgw and over
2,Jun,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,14,Pedal cycle
1,Jun,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,9,Car
1,Jun,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,13,Car
1,Jun,18,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,38,Goods vehicle 3.5 tonnes mgw and under
2,Jun,21,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,56,Car
2,Jun,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,43,Car
2,Jun,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,29,Car
2,Jun,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,36,Car
2,Jun,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,13,Car
2,Jun,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,7,Car
1,Jun,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,43,Car
1,Jun,13,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,49,Bus or coach (17 or more passenger seats)
1,Jun,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,34,Car
2,Jun,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,61,Pedal cycle
3,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,Car
3,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car
3,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
3,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,24,Car
3,Jun,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,24,Car
2,Jun,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,55,Motorcycle over 500cc
1,Jun,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,70,Bus or coach (17 or more passenger seats)
1,Jun,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
1,Jun,0,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,22,Car
1,Jun,0,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,Car
2,Jun,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Pedal cycle
2,Jun,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,28,Car
3,Jun,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,8,Car
3,Jun,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car
3,Jun,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
1,Jun,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Motorcycle over 50cc and up to 125cc
2,Jun,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,59,Car
2,Jun,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Car
2,Jun,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,7,Car
1,Jun,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
2,Jun,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle
1,Jun,23,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,23,Bus or coach (17 or more passenger seats)
2,Jun,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Pedal cycle
2,Jun,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car
1,Jun,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,15,Car
1,Jun,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,4,Motorcycle over 50cc and up to 125cc
1,Jun,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,Motorcycle over 50cc and up to 125cc
1,Jun,2,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car
